#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 06 20 14 20  70  2.6  3.5 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
2014 06 20 14 30  74  2.8  4.0 99.00 99.00 99.00 999 9999.0   5.2   3.1   5.2 99.0 99.00
2014 06 20 14 40  70  5.2  7.0 99.00 99.00 99.00 999 9999.0   5.2   3.1   5.2 99.0 99.00
2014 06 20 14 50  63  5.4  6.5 99.00 99.00 99.00 999 9999.0   5.2   3.1   5.2 99.0 99.00
2014 06 20 15 00  44  4.2  5.4 99.00 99.00 99.00 999 9999.0   5.0   3.2   5.0 99.0 99.00
2014 06 20 15 10  53  4.2  5.8 99.00 99.00 99.00 999 9999.0   5.1   3.2   5.1 99.0 99.00
2014 06 20 15 20  58  3.9  4.7 99.00 99.00 99.00 999 9999.0   5.0   3.2   5.0 99.0 99.00
2014 06 20 15 30  46  3.0  4.3 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.0 99.0 99.00
2014 06 20 15 40  60  3.1  4.1 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.0 99.0 99.00
2014 06 20 15 50  68  2.8  4.1 99.00 99.00 99.00 999 9999.0   4.8   3.1   4.8 99.0 99.00
2014 06 20 16 00  67  2.1  3.1 99.00 99.00 99.00 999 9999.0   4.9   3.1   4.9 99.0 99.00
2014 06 20 16 10  75  1.6  2.4 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.0 99.0 99.00
2014 06 20 16 20  80  1.1  2.5 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.1 99.0 99.00
2014 06 20 16 30 120  0.7  1.7 99.00 99.00 99.00 999 9999.0   5.2   3.1   5.2 99.0 99.00
2014 06 20 16 40 292  0.8  1.8 99.00 99.00 99.00 999 9999.0   5.3   3.1   5.3 99.0 99.00
2014 06 20 16 50 198  1.3  2.0 99.00 99.00 99.00 999 9999.0   5.3   3.1   5.3 99.0 99.00
2014 06 20 17 00  85  1.4  3.9 99.00 99.00 99.00 999 9999.0   5.5   3.2   5.5 99.0 99.00
2014 06 20 17 10  44  0.9  1.6 99.00 99.00 99.00 999 9999.0   5.6   3.2   5.6 99.0 99.00
2014 06 20 17 20 137  0.8  1.5 99.00 99.00 99.00 999 9999.0   5.6   3.2   5.6 99.0 99.00
2014 06 20 17 30  99  1.7  3.2 99.00 99.00 99.00 999 9999.0   5.5   3.2   5.5 99.0 99.00
2014 06 20 17 40 139  0.7  1.5 99.00 99.00 99.00 999 9999.0   5.4   3.2   5.4 99.0 99.00
2014 06 20 17 50 178  0.9  1.6 99.00 99.00 99.00 999 9999.0   5.4   3.2   5.4 99.0 99.00
2014 06 20 18 00 155  1.1  2.6 99.00 99.00 99.00 999 9999.0   5.3   3.2   5.3 99.0 99.00
2014 06 20 18 10  83  2.4  3.7 99.00 99.00 99.00 999 9999.0   5.1   3.3   5.1 99.0 99.00
2014 06 20 18 20  94  3.2  4.4 99.00 99.00 99.00 999 9999.0   5.1   3.3   5.1 99.0 99.00
2014 06 20 18 30  74  3.0  4.6 99.00 99.00 99.00 999 9999.0   4.9   3.2   4.9 99.0 99.00
2014 06 20 18 40  63  5.6  7.0 99.00 99.00 99.00 999 9999.0   5.4   3.3   5.4 99.0 99.00
2014 06 20 18 50  68  5.1  6.3 99.00 99.00 99.00 999 9999.0   5.3   3.3   5.3 99.0 99.00
2014 06 20 19 00  71  6.6  8.9 99.00 99.00 99.00 999 9999.0   5.3   3.2   5.3 99.0 99.00
2014 06 20 19 10  51  8.2 11.0 99.00 99.00 99.00 999 9999.0   5.7   3.2   5.7 99.0 99.00
2014 06 20 19 20  56  9.2 11.3 99.00 99.00 99.00 999 9999.0   5.8   3.2   5.8 99.0 99.00
2014 06 20 19 30  56  8.4 10.6 99.00 99.00 99.00 999 9999.0   6.0   3.2   6.0 99.0 99.00
2014 06 20 19 40  65  7.7  9.6 99.00 99.00 99.00 999 9999.0   6.0   3.2   6.0 99.0 99.00
2014 06 20 19 50  55  7.8  9.0 99.00 99.00 99.00 999 9999.0   5.8   3.2   5.8 99.0 99.00
2014 06 20 20 00  51  8.3 10.1 99.00 99.00 99.00 999 9999.0   5.6   3.2   5.6 99.0 99.00
2014 06 20 20 10  59  9.1 11.7 99.00 99.00 99.00 999 9999.0   5.9   3.2   5.9 99.0 99.00
2014 06 20 20 20  57  9.4 10.9 99.00 99.00 99.00 999 9999.0   5.9   3.2   5.9 99.0 99.00
2014 06 20 20 30  49 10.1 11.1 99.00 99.00 99.00 999 9999.0   5.9   3.2   5.9 99.0 99.00
2014 06 20 20 40  47 10.4 12.9 99.00 99.00 99.00 999 9999.0   6.0   3.2   6.0 99.0 99.00
2014 06 20 20 50  61 10.6 13.0 99.00 99.00 99.00 999 9999.0   6.0   3.2   6.0 99.0 99.00
2014 06 20 21 00  57 10.6 12.5 99.00 99.00 99.00 999 9999.0   6.0   3.2   6.0 99.0 99.00
2014 06 20 21 10  49 10.0 12.5 99.00 99.00 99.00 999 9999.0   6.2   3.2   6.2 99.0 99.00
2014 06 20 21 20  49 10.7 13.4 99.00 99.00 99.00 999 9999.0   6.1   3.2   6.1 99.0 99.00
2014 06 20 21 30  58 10.6 12.5 99.00 99.00 99.00 999 9999.0   6.2   3.2   6.2 99.0 99.00
2014 06 20 21 40  57 10.4 12.2 99.00 99.00 99.00 999 9999.0   6.4   3.2   6.4 99.0 99.00
2014 06 20 21 50  51 10.0 11.8 99.00 99.00 99.00 999 9999.0   6.3   3.2   6.3 99.0 99.00
2014 06 20 22 00  53 10.0 11.8 99.00 99.00 99.00 999 9999.0   6.2   3.2   6.2 99.0 99.00
2014 06 20 22 10  46  8.3  9.4 99.00 99.00 99.00 999 9999.0   6.1   3.2   6.1 99.0 99.00
2014 06 20 22 20  51  7.6  9.5 99.00 99.00 99.00 999 9999.0   6.0   3.2   6.0 99.0 99.00
2014 06 20 22 30  51  7.1  8.8 99.00 99.00 99.00 999 9999.0   5.9   3.2   5.9 99.0 99.00
2014 06 20 22 40  61  7.9  9.0 99.00 99.00 99.00 999 9999.0   6.0   3.2   6.1 99.0 99.00
2014 06 20 22 50  50  7.3  8.4 99.00 99.00 99.00 999 9999.0   5.9   3.2   5.9 99.0 99.00
2014 06 20 23 00  51  7.5  9.0 99.00 99.00 99.00 999 9999.0   5.9   3.2   5.8 99.0 99.00
2014 06 20 23 10  50  7.2  8.7 99.00 99.00 99.00 999 9999.0   6.0   3.2   5.9 99.0 99.00
2014 06 20 23 20  57  7.1  9.0 99.00 99.00 99.00 999 9999.0   6.2   3.2   5.9 99.0 99.00
2014 06 20 23 30  57  7.6  9.0 99.00 99.00 99.00 999 9999.0   6.1   3.2   5.7 99.0 99.00
2014 06 20 23 40  51  7.2  8.7 99.00 99.00 99.00 999 9999.0   5.9   3.2   5.5 99.0 99.00
2014 06 20 23 50  51  8.0 10.4 99.00 99.00 99.00 999 9999.0   5.7   3.2   5.4 99.0 99.00
2014 06 21 00 00  63  8.7 11.0 99.00 99.00 99.00 999 9999.0   5.8   3.2   5.4 99.0 99.00
2014 06 21 00 10  59  7.2  9.0 99.00 99.00 99.00 999 9999.0   5.5   3.2   5.2 99.0 99.00
2014 06 21 00 20  50  7.0  8.8 99.00 99.00 99.00 999 9999.0   5.5   3.1   5.2 99.0 99.00
2014 06 21 00 30  38  6.7  8.3 99.00 99.00 99.00 999 9999.0   5.4   3.1   5.2 99.0 99.00
2014 06 21 00 40  56  6.1  7.9 99.00 99.00 99.00 999 9999.0   5.2   3.1   5.1 99.0 99.00
2014 06 21 00 50  58  6.3  7.4 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.0 99.0 99.00
2014 06 21 01 00  44  5.5  6.4 99.00 99.00 99.00 999 9999.0   4.9   3.1   4.9 99.0 99.00
2014 06 21 01 10  59  6.1  7.0 99.00 99.00 99.00 999 9999.0   4.9   3.1   4.9 99.0 99.00
2014 06 21 01 20  51  6.2  7.3 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.0 99.0 99.00
2014 06 21 01 30  38  6.3  7.4 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.0 99.0 99.00
2014 06 21 01 40  53  7.0  8.5 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.0 99.0 99.00
2014 06 21 01 50  50  7.8  9.8 99.00 99.00 99.00 999 9999.0   5.2   3.1   5.2 99.0 99.00
2014 06 21 02 00  41  7.8  9.3 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
2014 06 21 02 10  43  7.3  9.2 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
2014 06 21 02 20  50  7.9  9.7 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
2014 06 21 02 30  54  7.9  9.7 99.00 99.00 99.00 999 9999.0   5.2   3.1   5.2 99.0 99.00
2014 06 21 02 40  51  7.6  9.5 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
2014 06 21 02 50  63  7.5  9.2 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.0 99.0 99.00
2014 06 21 03 00  54  7.7  9.0 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
2014 06 21 03 10  55  7.9 10.1 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
2014 06 21 03 20  49  9.3 11.1 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
