#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 06 10 21 00  50  3.0   MM    MM    MM    MM  MM 1016.6  11.3  11.1   7.2   MM -2.4    MM
2024 06 10 20 50  30  3.0   MM    MM    MM    MM  MM 1016.7  11.3  11.1   7.2   MM   MM    MM
2024 06 10 20 40  40  3.0   MM    MM    MM    MM  MM 1016.7  11.4  11.1   7.1   MM   MM    MM
2024 06 10 20 30  50  4.0   MM    MM    MM    MM  MM 1016.7  11.5  11.0   7.1   MM   MM    MM
2024 06 10 20 20  50  4.0   MM    MM    MM    MM  MM 1016.8  11.6  10.4   7.6   MM   MM    MM
2024 06 10 20 10  50  4.0   MM    MM    MM    MM  MM 1017.0  11.7  10.7   7.9   MM   MM    MM
2024 06 10 20 00  40  3.0   MM    MM    MM    MM  MM 1017.2  11.8  11.2   7.7   MM -2.2    MM
2024 06 10 19 50  30  2.0   MM    MM    MM    MM  MM 1017.2  11.8  11.4   7.5   MM   MM    MM
2024 06 10 19 40  30  2.0   MM    MM    MM    MM  MM 1017.3  11.8  11.5   7.1   MM   MM    MM
2024 06 10 19 30  40  3.0   MM    MM    MM    MM  MM 1017.4  11.9  11.5   7.0   MM   MM    MM
2024 06 10 19 20  30  2.0   MM    MM    MM    MM  MM 1017.5  11.9  11.3   6.7   MM   MM    MM
2024 06 10 19 10  20  2.0   MM    MM    MM    MM  MM 1017.7  11.9  11.1   7.1   MM   MM    MM
2024 06 10 19 00  10  2.0   MM    MM    MM    MM  MM 1017.9  12.0  11.1   7.2   MM -1.9    MM
2024 06 10 18 50  20  2.0   MM    MM    MM    MM  MM 1018.0  12.0  11.1   7.2   MM   MM    MM
2024 06 10 18 40  50  2.0   MM    MM    MM    MM  MM 1018.2  11.9  10.5   7.0   MM   MM    MM
2024 06 10 18 30  50  2.0   MM    MM    MM    MM  MM 1018.3  11.9  10.0   6.8   MM   MM    MM
2024 06 10 18 20  50  2.0   MM    MM    MM    MM  MM 1018.5  11.9  10.3   6.6   MM   MM    MM
2024 06 10 18 10  60  2.0   MM    MM    MM    MM  MM 1018.7  11.9  10.2   6.6   MM   MM    MM
2024 06 10 18 00  70  2.0   MM    MM    MM    MM  MM 1018.9  12.0   9.6   6.5   MM -0.6    MM
2024 06 10 17 50  80  1.0   MM    MM    MM    MM  MM 1019.1  12.0   9.8   6.7   MM   MM    MM
2024 06 10 17 40  80  1.0   MM    MM    MM    MM  MM 1019.2  11.8   9.6   6.4   MM   MM    MM
2024 06 10 17 30  80  2.0   MM    MM    MM    MM  MM 1019.2  11.8   9.4   6.2   MM   MM    MM
2024 06 10 17 20  80  2.0   MM    MM    MM    MM  MM 1019.3  11.9   9.2   6.2   MM   MM    MM
2024 06 10 17 10  80  2.0   MM    MM    MM    MM  MM 1019.4  12.0   9.0   6.4   MM   MM    MM
2024 06 10 17 00  90  1.0   MM    MM    MM    MM  MM 1019.4  12.2   9.0   6.4   MM -0.6    MM
2024 06 10 16 50  90  1.0   MM    MM    MM    MM  MM 1019.5  12.0   8.9   7.0   MM   MM    MM
2024 06 10 16 40  70  1.0   MM    MM    MM    MM  MM 1019.5  11.7   8.8   7.5   MM   MM    MM
2024 06 10 16 30  60  1.0   MM    MM    MM    MM  MM 1019.5  11.5   8.8   7.6   MM   MM    MM
2024 06 10 16 20  40  2.0   MM    MM    MM    MM  MM 1019.5  11.4   8.6   7.4   MM   MM    MM
2024 06 10 16 10  30  2.0   MM    MM    MM    MM  MM 1019.7  11.5   8.6   7.3   MM   MM    MM
2024 06 10 16 00 350  2.0   MM    MM    MM    MM  MM 1019.8  11.8   8.8   7.3   MM -0.0    MM
2024 06 10 15 50 350  1.0   MM    MM    MM    MM  MM 1019.7  12.0   8.9   7.3   MM   MM    MM
2024 06 10 15 40 360  1.0   MM    MM    MM    MM  MM 1019.6  12.2   8.7   7.2   MM   MM    MM
2024 06 10 15 30  10  1.0   MM    MM    MM    MM  MM 1019.5  12.4   8.7   7.4   MM   MM    MM
2024 06 10 15 20  50  1.0   MM    MM    MM    MM  MM 1019.5  12.7   8.6   7.4   MM   MM    MM
2024 06 10 15 10  80  1.0   MM    MM    MM    MM  MM 1019.5  12.5   8.6   7.3   MM   MM    MM
2024 06 10 15 00  MM  0.0   MM    MM    MM    MM  MM 1019.5  13.1   8.6   7.2   MM +0.3    MM
2024 06 10 14 50  MM  0.0   MM    MM    MM    MM  MM 1019.7  13.3   8.6   7.3   MM   MM    MM
2024 06 10 14 40  MM  0.0   MM    MM    MM    MM  MM 1019.7  13.2   8.5   7.4   MM   MM    MM
2024 06 10 14 30  MM  0.0   MM    MM    MM    MM  MM 1019.8  12.8   8.4   7.2   MM   MM    MM
2024 06 10 14 20  MM  0.0   MM    MM    MM    MM  MM 1019.8  12.3   8.4   7.1   MM   MM    MM
2024 06 10 14 10 220  1.0   MM    MM    MM    MM  MM 1019.9  11.2   8.4   6.4   MM   MM    MM
2024 06 10 14 00 240  1.0   MM    MM    MM    MM  MM 1020.0  10.8   8.3   6.4   MM +1.0    MM
2024 06 10 13 50 210  1.0   MM    MM    MM    MM  MM 1019.9  11.2   8.3   6.2   MM   MM    MM
2024 06 10 13 40 130  1.0   MM    MM    MM    MM  MM 1019.9  10.9   8.2   6.3   MM   MM    MM
2024 06 10 13 30 120  1.0   MM    MM    MM    MM  MM 1020.0  10.2   8.2   5.7   MM   MM    MM
2024 06 10 13 20 290  1.0   MM    MM    MM    MM  MM 1020.1   9.7   8.2   5.7   MM   MM    MM
2024 06 10 13 10 340  1.0   MM    MM    MM    MM  MM 1019.9   9.8   8.2   5.9   MM   MM    MM
2024 06 10 13 00  30  1.0   MM    MM    MM    MM  MM 1019.9   9.1   8.1   5.8   MM +1.2    MM
2024 06 10 12 50  30  2.0   MM    MM    MM    MM  MM 1019.7   8.8   8.1   5.6   MM   MM    MM
2024 06 10 12 40  30  1.0   MM    MM    MM    MM  MM 1019.7   8.7   8.1   5.7   MM   MM    MM
2024 06 10 12 30  20  1.0   MM    MM    MM    MM  MM 1019.6   8.5   8.1   5.6   MM   MM    MM
